"","Genes","FDR","pValue","adjPvalue","logFC","results"
"1","ABCA6",6.26851172816858e-22,9.5390395863435e-23,6.26851172816858e-22,-0.362445902112359,"0"
"2","ACTG2",7.62487916917542e-06,4.69648354623124e-06,7.62487916917543e-06,-0.561702476368767,"0"
"3","ADAM12",9.31908951300656e-28,5.74001890293883e-29,9.31908951300658e-28,1.2967397429168,"1"
"4","ADAM8",3.41874962389162e-31,4.95470959984291e-33,3.41874962389161e-31,2.03809633635063,"1"
"5","ADAMTS5",0.21727624758104,0.187361401899592,0.21727624758104,0.21131706650789,"0"
"6","ADCY7",0.476156195754546,0.44165212359842,0.476156195754546,0.152439303845038,"0"
"7","AIF1",0.00221420898297771,0.00158043177408192,0.00221420898297771,-0.237472952785211,"0"
"8","ALOX5AP",7.14403504381179e-23,1.00948321271254e-23,7.14403504381181e-23,-1.24031284374299,"-1"
"9","AOAH",0.359813276053789,0.32982883638264,0.359813276053789,-0.0338181545891794,"0"
"10","AOC3",3.38739224605628e-29,1.35004763429779e-30,3.38739224605628e-29,-1.8943198099137,"-1"
"11","APBB1IP",0.660957445383593,0.634614938502363,0.660957445383593,0.00940459384294812,"0"
"12","ARHGAP15",0.111211506746357,0.0922733153801294,0.111211506746357,-0.031075512802339,"0"
"13","ARHGAP28",1.46598094476453e-10,6.2144844397627e-11,1.46598094476453e-10,-0.20241216649527,"0"
"14","ARHGDIB",2.29720317460054e-10,9.98783988956758e-11,2.29720317460054e-10,0.497931873824272,"0"
"15","ARHGEF6",1.13345974637688e-21,1.76589743094948e-22,1.13345974637687e-21,-0.581022364694155,"0"
"16","ASPN",6.26543410007397e-11,2.5197941489428e-11,6.26543410007398e-11,1.02354590628541,"1"
"17","ATP8B4",0.000604009526088002,0.000422368980199219,0.000604009526088002,0.135613259884754,"0"
"18","BCL2A1",1.88113795689771e-06,1.09051475762186e-06,1.88113795689771e-06,-0.48670623754526,"0"
"19","BGN",3.25549432367894e-14,1.02618842811619e-14,3.25549432367894e-14,1.11461335811472,"1"
"20","BIN2",0.0153755319634041,0.011308815175982,0.0153755319634041,-0.0954721382805501,"0"
"21","BTK",2.590398951336e-17,6.28828730940261e-18,2.590398951336e-17,-0.527906232612585,"0"
"22","C1QA",2.31869219891781e-23,3.19240230285786e-24,2.31869219891781e-23,-1.11098277830194,"-1"
"23","C1QB",5.88676795140667e-19,1.19441668579266e-19,5.88676795140667e-19,-1.12675350327609,"-1"
"24","C3AR1",0.258097416826889,0.228477882851706,0.258097416826889,-0.0868196413024949,"0"
"25","CASP1",0.000145488371933486,9.80465115203926e-05,0.000145488371933486,-0.22312337416845,"0"
"26","CCDC69",8.77625419098117e-19,1.81248727857219e-19,8.77625419098115e-19,-0.843195843672345,"0"
