"","Genes","FDR","pValue","adjPvalue","logFC","results"
"1","ABCA6",0.448178109608341,0.378353259198346,0.448178109608341,0.0741309019719695,"0"
"2","ACTG2",0.00103299127874048,0.000557665581638883,0.00103299127874048,-1.45490399892043,"-1"
"3","ADAM12",0.000168845761104404,8.44228805522019e-05,0.000168845761104404,1.26715231433172,"1"
"4","ADAM8",2.21573743925606e-28,1.12392478802844e-29,2.21573743925606e-28,6.35820678485415,"1"
"5","ADAMTS5",0.390306702573705,0.316770502431359,0.390306702573705,0.101733126005981,"0"
"6","ADCY7",0.00141930835181345,0.000786790499374849,0.00141930835181345,0.976511579208354,"0"
"7","AIF1",0.00277833822871864,0.00158043152865517,0.00277833822871864,-0.22431431813705,"0"
"8","ALOX5AP",9.60749540374692e-23,1.00948321271254e-23,9.60749540374691e-23,-0.864415445349768,"0"
"9","AOAH",0.112423436869573,0.0782076082570945,0.112423436869573,0.555748633858329,"0"
"10","AOC3",2.92941199695852e-29,1.16751927415013e-30,2.92941199695852e-29,-2.4926403675336,"-1"
"11","APBB1IP",0.506838107177239,0.43338330903561,0.506838107177239,0.316404440522737,"0"
"12","ARHGAP15",0.448178109608341,0.378353259198346,0.448178109608341,0.0720079075873173,"0"
"13","ARHGAP28",0.48777931584925,0.415319345016571,0.48777931584925,0.0733539859668739,"0"
"14","ARHGDIB",3.1685561028973e-10,9.98783988956758e-11,3.1685561028973e-10,0.104581617950174,"0"
"15","ARHGEF6",5.53618907043967e-27,3.81114464994035e-28,5.53618907043967e-27,-3.83487272878615,"-1"
"16","ASPN",1.22101595386195e-10,3.67189580328051e-11,1.22101595386195e-10,2.95746691121464,"1"
"17","ATP8B4",0.571859612645237,0.507311308015751,0.571859612645237,0.0412698571820548,"0"
"18","BCL2A1",3.12108870279088e-06,1.31176191856428e-06,3.12108870279088e-06,-1.47711902847912,"-1"
"19","BGN",4.72046676933446e-14,1.02618842811619e-14,4.72046676933446e-14,0.399729553158787,"0"
"20","BIN2",0.395687564519127,0.322605694891244,0.395687564519127,-0.195889991276948,"0"
