"","Genes","FDR","pValue","adjPvalue","logFC","results"
"1","ABCA6",7.35980963566671e-20,1.91995033973914e-20,7.35980963566671e-20,-0.496540224754323,"0"
"2","ACTG2",9.69797047009826e-15,3.72458286170441e-15,9.69797047009828e-15,-1.18124309681555,"-1"
"3","ADAM12",2.99222665497327e-23,5.63752848038442e-24,2.99222665497327e-23,1.26855268122583,"1"
"4","ADAM8",1.55278935027988e-23,2.70050321787804e-24,1.55278935027987e-23,1.62666336614435,"1"
"5","ADAMTS5",0.638177564942031,0.617367426954791,0.638177564942031,0.131934606193751,"0"
"6","ADCY7",0.000145184592746466,0.000103102102095316,0.000145184592746466,-0.309886627329672,"0"
"7","AIF1",2.67206527282206e-13,1.09399773851048e-13,2.67206527282205e-13,-0.91723560395073,"0"
"8","ALOX5AP",7.2841631783007e-27,7.91756867206599e-28,7.28416317830071e-27,-2.03531989275332,"-1"
"9","AOAH",5.38768970866524e-08,3.16233961160786e-08,5.38768970866525e-08,-0.559995361261213,"0"
"10","AOC3",2.04394637793735e-32,1.15718573012962e-34,2.04394637793734e-32,-2.66682261269787,"-1"
"11","APBB1IP",1.14845911310221e-09,6.20001477725467e-10,1.14845911310221e-09,-0.615662304034708,"0"
"12","ARHGAP15",1.59793828459512e-06,1.01897513800268e-06,1.59793828459512e-06,-0.258377494268671,"0"
"13","ARHGAP28",2.02158583136483e-13,8.13029084353248e-14,2.02158583136483e-13,-0.367023887074341,"0"
"14","ARHGDIB",0.0035682476643729,0.00277961321681222,0.0035682476643729,-0.339130025729389,"0"
"15","ARHGEF6",7.56390903184386e-27,8.49569492707102e-28,7.56390903184387e-27,-1.22846664913076,"-1"
"16","ASPN",0.0179603264431509,0.0149669387026258,0.0179603264431509,0.453848856178616,"0"
"17","ATP8B4",0.0339718220897243,0.0288021969891141,0.0339718220897243,0.125059795864285,"0"
"18","BCL2A1",1.51104176991823e-15,5.47478902144285e-16,1.51104176991823e-15,-1.16957675488527,"-1"
"19","BGN",0.00134536406593676,0.00103339558687896,0.00134536406593676,0.353636478307291,"0"
"20","BIN2",4.56135174403239e-12,2.01624968395635e-12,4.56135174403239e-12,-0.675867263082053,"0"
"21","BTK",1.62405792055274e-24,2.35370713123585e-25,1.62405792055274e-24,-1.13693363483648,"-1"
"22","C1QA",6.33027358267735e-25,8.48623632460369e-26,6.33027358267735e-25,-1.78960343020514,"-1"
"23","C1QB",4.979561515376e-23,9.56220146068581e-24,4.97956151537601e-23,-1.81314908580285,"-1"
"24","C3AR1",7.38460879011104e-10,3.9598626845523e-10,7.38460879011104e-10,-0.767904651057987,"0"
"25","CASP1",6.51905163544591e-17,2.17301721181531e-17,6.51905163544592e-17,-0.881313924638648,"0"
"26","CCDC69",3.30210522789985e-30,1.55533941893833e-31,3.30210522789985e-30,-1.50765359993473,"-1"
"27","CCL5",0.00612456946871037,0.00483752226151761,0.00612456946871037,-0.39674064158457,"0"
"28","CCR1",1.45236135545132e-10,7.3670503537386e-11,1.45236135545132e-10,-0.79114089916759,"0"
"29","CCR7",0.29003982936224,0.264818974635089,0.29003982936224,0.155603552723267,"0"
"30","CD14",0.00106299904107764,0.000801100726609237,0.00106299904107764,-0.482057418814908,"0"
"31","CD163",2.65198737131727e-15,9.80082289399861e-16,2.65198737131727e-15,-1.28932361334372,"-1"
"32","CD2",0.660829976844321,0.644069796272182,0.660829976844321,0.0533583061957592,"0"
"33","CD200",0.000141203649148377,9.97634477678753e-05,0.000141203649148377,-0.362169040408128,"0"
"34","CD247",3.90062116227018e-06,2.60041410818012e-06,3.90062116227018e-06,-0.413371836567784,"0"
"35","CD248",0.398630945747785,0.373218916850011,0.398630945747785,0.0761207737399516,"0"
"36","CD27",3.15829740201397e-11,1.49904695530373e-11,3.15829740201397e-11,0.968829523469769,"0"
"37","CD300A",0.0591886694120594,0.0518973115859361,0.0591886694120594,-0.170212584819749,"0"
"38","CD302",6.02847675175591e-25,7.86323054576856e-26,6.0284767517559e-25,-1.23046949452325,"-1"
"39","CD33",2.99222665497327e-23,5.59177106607318e-24,2.99222665497327e-23,-0.818274895572254,"0"
"40","CD37",1.52109315063079e-17,4.68452600737742e-18,1.52109315063079e-17,-1.08350473312786,"-1"
"41","CD3D",0.0749697673192068,0.0668208795671192,0.0749697673192069,0.247843389744491,"0"
"42","CD48",0.00707365376751948,0.0056384196697619,0.00707365376751948,-0.330441179174252,"0"
"43","CD52",8.28081447984221e-30,4.20041314194896e-31,8.28081447984223e-30,-2.42362361527856,"-1"
"44","CD53",1.11999349582878e-15,4.01736797416846e-16,1.11999349582878e-15,-1.05487691313453,"-1"
"45","CD69",8.65778175878647e-13,3.63877784064938e-13,8.65778175878647e-13,-0.99565100211532,"0"
"46","CD74",7.16751191215112e-11,3.53181746395852e-11,7.16751191215112e-11,-1.01304751210054,"-1"
"47","CD86",8.7025152601615e-11,4.38278848247264e-11,8.7025152601615e-11,-0.70107182125044,"0"
"48","CD93",6.39840546233384e-31,2.55008913353885e-32,6.39840546233384e-31,-2.09087167281074,"-1"
"49","CDH5",2.58379993550511e-32,2.80847819076643e-34,2.58379993550512e-32,-2.36214893929649,"-1"
"50","CH25H",0.000570000273809836,0.000423369768590639,0.000570000273809835,-0.59094600670536,"0"
"51","CILP",8.54877559920207e-11,4.24341397496625e-11,8.54877559920209e-11,1.04683917479949,"1"
"52","CLEC2B",9.61550243982005e-09,5.40001042815981e-09,9.61550243982005e-09,-0.583467309502401,"0"
"53","CLEC4A",8.67167963428115e-11,4.33583981714058e-11,8.67167963428116e-11,-0.6679252980573,"0"
"54","CLEC7A",2.12002455064065e-06,1.3847392710089e-06,2.12002455064065e-06,-0.583350440817826,"0"
"55","COL10A1",6.27758313556417e-31,2.27448664332034e-32,6.27758313556415e-31,2.92718618427169,"1"
"56","COL14A1",0.0144517522587477,0.0118860426186077,0.0144517522587477,-0.326092420538021,"0"
"57","COL15A1",1.2303596110598e-05,8.55902338128557e-06,1.2303596110598e-05,0.652991786043535,"0"
"58","COL1A2",6.93037719634478e-13,2.88765716514366e-13,6.93037719634479e-13,1.29007483520387,"1"
"59","COL3A1",9.8102947928096e-24,1.63504913213493e-24,9.81029479280961e-24,2.44032775152012,"1"
"60","COL5A3",0.0649916174170517,0.0572208805519695,0.0649916174170517,0.274212931616176,"0"
"61","COL6A3",6.13067680522263e-12,2.77657464004648e-12,6.13067680522263e-12,1.0562613128117,"1"
"62","COL8A2",0.293401164758121,0.268951067694945,0.293401164758121,0.174066577997549,"0"
"63","COMP",3.21482117302178e-16,1.11819866887714e-16,3.21482117302178e-16,1.90021995598953,"1"
"64","CORO1A",0.0722465758039382,0.0641319241737857,0.0722465758039382,0.149949263858524,"0"
"65","COX7A1",9.4969596752805e-30,5.50548386972782e-31,9.49695967528049e-30,-1.62198115009199,"-1"
"66","CSF1R",0.00758282017208205,0.00612669890715325,0.00758282017208205,-0.374285838943175,"0"
"67","CST7",2.12002455064065e-06,1.39030595531144e-06,2.12002455064065e-06,-0.55355946877721,"0"
"68","CSTA",7.8746300332815e-21,1.82600116713774e-21,7.87463003328152e-21,-1.27049159691691,"-1"
"69","CTSS",2.28844727138933e-16,7.87690183992708e-17,2.28844727138934e-16,-0.948942257384079,"0"
"70","CXCL12",4.31221767814667e-20,1.10930237372613e-20,4.31221767814666e-20,-1.25850686519343,"-1"
"71","CXCL14",2.11459886436643e-12,9.193908105941e-13,2.11459886436643e-12,2.21608474047478,"1"
"72","CXCL9",0.000723649398342943,0.000542737048757208,0.000723649398342943,0.829531002318864,"0"
"73","CYBB",3.37833353138893e-17,1.08939016048411e-17,3.37833353138893e-17,-1.44200361327318,"-1"
"74","DCN",2.11654924939882e-21,4.60119402043222e-22,2.11654924939882e-21,-1.55268387822946,"-1"
"75","DDR2",8.68753493846775e-17,2.95879813121727e-17,8.68753493846773e-17,-0.91341976493451,"0"
"76","DIO2",1.48615383670359e-17,4.52307689431529e-18,1.48615383670359e-17,0.881883606870367,"0"
"77","DOCK2",4.55079859037396e-13,1.87967767863272e-13,4.55079859037396e-13,-0.730136928814631,"0"
"78","ECM2",1.46242863097215e-17,4.39788320183651e-18,1.46242863097214e-17,-0.931897331870969,"0"
"79","EDIL3",4.51008125171527e-09,2.5001537373639e-09,4.51008125171527e-09,-0.813427758175717,"0"
"80","EDNRA",1.66534075865908e-11,7.66298102716317e-12,1.66534075865908e-11,-0.783527856564836,"0"
"81","EGFL6",1.80659174496189e-11,8.37839649837401e-12,1.8065917449619e-11,-0.770298734128261,"0"
"82","EMCN",7.06905913481102e-32,1.53675198582849e-33,7.06905913481106e-32,-2.27215262204197,"-1"
"83","EMP3",2.37263611056471e-19,6.36141565876047e-20,2.37263611056472e-19,-1.06682598703495,"-1"
"84","ENPEP",9.42362147560865e-06,6.48727565349871e-06,9.42362147560865e-06,-0.350119816590269,"0"
"85","ENPP2",7.2840243527666e-10,3.87953470962569e-10,7.2840243527666e-10,-0.893433749283208,"0"
"86","ERG",1.56387803340887e-31,5.09960228285502e-33,1.56387803340887e-31,-1.63149099046583,"-1"
"87","EVI2B",1.09546758819649e-20,2.65928726120163e-21,1.09546758819649e-20,-1.22334947394586,"-1"
"88","F13A1",0.0289511959082053,0.0244406835022168,0.0289511959082053,-0.362631615633925,"0"
"89","FAP",4.40024977371965e-24,6.8554616039835e-25,4.40024977371964e-24,1.18568371678401,"1"
"90","FASLG",0.623736534039253,0.601137384255222,0.623736534039253,0.0708251393786987,"0"
"91","FBLN2",0.398630945747785,0.374077590393755,0.398630945747785,0.0780000023635945,"0"
"92","FCER1G",4.05908088871204e-21,9.11822518478795e-22,4.05908088871206e-21,-1.32252396091775,"-1"
"93","FCGR2A",3.53033131910463e-11,1.7012103820323e-11,3.53033131910463e-11,-0.764115821248353,"0"
"94","FCGR2B",0.0219505890470481,0.0183716886589424,0.0219505890470481,0.236732748187777,"0"
"95","FGL2",8.14651905266011e-08,4.84068523418934e-08,8.14651905266011e-08,-0.702252162126105,"0"
"96","FGR",1.17381418967348e-30,5.10353995510211e-32,1.17381418967349e-30,-1.92512503199462,"-1"
"97","FLI1",1.36945501690829e-29,8.93122837114108e-31,1.3694550169083e-29,-1.32558526989517,"-1"
"98","FMO1",1.33906183160494e-09,7.32602668740384e-10,1.33906183160494e-09,0.428891148923722,"0"
"99","FOXF1",1.00512712399872e-31,2.91341195361947e-33,1.00512712399872e-31,-2.18840240408488,"-1"
"100","FPR1",9.91337612414808e-21,2.37058994273106e-21,9.91337612414808e-21,-1.5904740404993,"-1"
"101","FRZB",0.280414223085836,0.255014384038206,0.280414223085836,-0.136360359232449,"0"
"102","GBP1",0.000186004235909913,0.000133437821413633,0.000186004235909913,-0.499853150175219,"0"
"103","GBP2",0.866689104651661,0.860408748820852,0.866689104651661,0.0215131698336704,"0"
"104","GIMAP4",1.1522341853834e-26,1.37767130861059e-27,1.1522341853834e-26,-1.45237824854978,"-1"
"105","GIMAP5",2.37009013866942e-22,4.894751373339e-23,2.37009013866941e-22,-0.641451083001057,"0"
"106","GIMAP6",1.00512712399872e-31,2.77586679676094e-33,1.00512712399872e-31,-1.90100114202329,"-1"
"107","GLRX",3.0951229761124e-08,1.77184576168753e-08,3.0951229761124e-08,-0.491398634632546,"0"
"108","GMFG",2.36334340031096e-27,2.31196636986941e-28,2.36334340031095e-27,-1.44209470226383,"-1"
"109","GMIP",0.846437141276917,0.837236737567385,0.846437141276917,-0.0388440597496755,"0"
"110","GNLY",1.20774858200418e-06,7.65782615401204e-07,1.20774858200418e-06,-0.666904574899783,"0"
"111","GPR65",5.62601777846684e-17,1.8549551371032e-17,5.62601777846684e-17,-0.719466312759209,"0"
"112","GREM1",2.62749161922097e-27,2.66557120790532e-28,2.62749161922096e-27,1.72384041775227,"1"
"113","GZMB",0.00769717798882681,0.00624698503441016,0.00769717798882681,-0.317390983362838,"0"
"114","GZMH",2.16912954930304e-08,1.22602974525824e-08,2.16912954930304e-08,-0.775888353523928,"0"
"115","GZMK",0.442862320176807,0.420398289443201,0.442862320176807,0.174042335714182,"0"
"116","HCK",9.95150106556583e-23,1.94703281717592e-23,9.95150106556583e-23,-1.37709284565242,"-1"
"117","HCLS1",4.16232167927891e-06,2.78996199516883e-06,4.1623216792789e-06,-0.510169274707852,"0"
"118","HDC",5.12898664532928e-11,2.50874346782411e-11,5.12898664532928e-11,-0.486545006074916,"0"
"119","HEPH",0.000570000273809836,0.000422094037588194,0.000570000273809835,-0.238315692076983,"0"
"120","HGF",1.72978716213439e-14,6.76873237356936e-15,1.72978716213439e-14,-0.619002778098369,"0"
"121","HLA-B",0.00123416096437293,0.000943507114067709,0.00123416096437293,-0.440769579193445,"0"
"122","HLA-DMA",4.51531977778315e-08,2.62189137004932e-08,4.51531977778316e-08,-0.762282111136277,"0"
"123","HLA-DPA1",3.49540047780206e-16,1.22845596502463e-16,3.49540047780205e-16,-1.27139297157756,"-1"
"124","HLA-DPB1",5.53274781306771e-15,2.10484971149315e-15,5.53274781306772e-15,-1.17140979835248,"-1"
"125","HLA-DRA",3.8259638979881e-16,1.3584944275465e-16,3.82596389798809e-16,-1.26962719822388,"-1"
"126","HLA-E",1.73442907787914e-28,1.3825159316428e-29,1.73442907787915e-28,-1.33380877784954,"-1"
"127","HLA-F",0.0379311084514648,0.0324338463570496,0.0379311084514648,-0.289526335640446,"0"
"128","HLA-G",0.0117533903371736,0.00962415295725088,0.0117533903371736,-0.1991211862257,"0"
"129","IFI30",0.0506681262703057,0.0440592402350485,0.0506681262703057,-0.101842834238816,"0"
"130","IGF1",0.0550500508026589,0.0480690660994232,0.0550500508026589,-0.019136576369054,"0"
"131","IGSF6",1.51722627133486e-07,9.2352903472557e-08,1.51722627133486e-07,-0.70019301693773,"0"
"132","IKZF1",8.89843012761153e-08,5.31971366324603e-08,8.89843012761154e-08,-0.479807787894291,"0"
"133","IL10RA",1.26954124898741e-07,7.63564664246053e-08,1.26954124898741e-07,-0.585727445201432,"0"
"134","IL18R1",8.47772725465206e-14,3.34808793752563e-14,8.47772725465206e-14,-0.802895041306068,"0"
"135","IL18RAP",1.27318513627335e-07,7.70369267237859e-08,1.27318513627335e-07,-0.291484137513981,"0"
"136","IL1B",1.58369288265418e-12,6.82824105202344e-13,1.58369288265418e-12,-0.849363148601571,"0"
"137","IL2RB",0.723224727763927,0.707743412783604,0.723224727763927,-0.00225309313456501,"0"
