"Genes","FDR.original","FDR.qn","FriedmanP","NumExprsses"
"AOC3",4.53e-30,3.38739224605628e-29,0.0577795711235976,10
"CDH5",5.37e-30,4.97706566038354e-27,NA,NA
"EMCN",1.41e-29,2.19713902052573e-26,NA,NA
"ERG",1.65e-29,3.43649112865246e-24,NA,NA
"FGR",1.04e-28,1.10954086901967e-28,NA,NA
"FOXF1",8.82e-30,3.81433695503662e-27,NA,NA
"GIMAP6",1.65e-29,2.83164385822908e-30,NA,NA
"LDB2",4.53e-30,3.20345800410432e-29,NA,NA
"RAMP3",4.53e-30,3.12350089209794e-28,NA,NA
"TCF21",5.37e-30,4.9793307479662e-31,NA,NA
