"Genes","FDR.qn","FDR.dp10","FriedmanP","NumExprsses"
"ADAM12",9.31908951300656e-28,8.62496508051422e-12,0.527089256865538,10
"ADAM8",3.41874962389162e-31,2.10392964572773e-31,NA,NA
"COL10A1",5.44667330354105e-32,1.57912619700455e-29,NA,NA
"COL3A1",1.74717829212514e-30,2.09661395055019e-30,NA,NA
"COL6A3",1.43332051800145e-26,1.37100223461009e-26,NA,NA
"FAP",3.41874962389162e-31,1.00874825607253e-16,NA,NA
"GREM1",3.38739224605628e-29,5.08015853112864e-14,NA,NA
"MXRA5",1.02812928191996e-26,8.70188858886208e-27,NA,NA
"SULF1",3.38739224605628e-29,3.83761724878888e-29,NA,NA
"THBS2",3.41874962389162e-31,2.10392964572773e-31,NA,NA
