"Genes","FDR.qn","FDR.dp5","FriedmanP","NumExprsses"
"AOC3",3.38739224605628e-29,3.10296716150974e-29,0.00156540225800255,10
"CD52",9.87544793014526e-28,8.88790313713077e-28,NA,NA
"FGR",1.10954086901967e-28,9.49319889409895e-29,NA,NA
"FOXF1",3.81433695503662e-27,1.5261735087721e-31,NA,NA
"GIMAP6",2.83164385822908e-30,1.98214675604094e-30,NA,NA
"LDB2",3.20345800410432e-29,5.81716227048769e-31,NA,NA
"MSR1",9.31908951300656e-28,8.15970083014213e-28,NA,NA
"RAMP3",3.12350089209794e-28,2.75603019890994e-28,NA,NA
"TCF21",4.9793307479662e-31,1.50879259680753e-57,NA,NA
"VSIG4",3.12350089209794e-28,2.75603019890994e-28,NA,NA
