"ID","adjP.original","adjP.qn","WicoxonP"
"ACTG2",1.65e-15,NA,1
"ALOX5AP",1.08e-25,6.65329390546805e-27,NA
"AOC3",3.38e-32,1.0653109185707e-42,NA
"ARHGEF6",4.87e-26,NA,NA
"BCL2A1",1.56e-15,NA,NA
"BTK",1.5e-23,NA,NA
"C1QA",7.94e-24,3.22866001714882e-20,NA
"C1QB",5.59e-22,2.07278853650365e-18,NA
"CCDC69",3.95e-29,NA,NA
"CD302",6.86e-24,NA,NA
"CD33",1.27e-22,NA,NA
"CD37",1.58e-17,NA,NA
"CD52",6.9e-29,1.0854090582246e-37,NA
"CD93",6.13e-30,1.26483865427832e-32,NA
"CDH5",9.61e-32,7.69572895601567e-42,NA
"COX7A1",1.82e-29,2.91725990489337e-21,NA
"CXCL12",9.86e-20,NA,NA
"CYBB",1.04e-15,NA,NA
"DCN",2.94e-21,NA,NA
"ECM2",8.76e-18,NA,NA
"EMCN",4.09e-31,1.07830773576771e-37,NA
"ENPP2",2.45e-09,NA,NA
"ERG",5.55e-31,1.02866483775941e-31,NA
"EVI2B",5.42e-20,NA,NA
"FCER1G",5.99e-20,NA,NA
"FGR",4.32e-30,3.28606381979932e-44,NA
"FLI1",1.56e-28,NA,NA
"FOXF1",2.2e-31,3.28606381979932e-44,NA
"FPR1",2.62e-19,3.07588225566258e-17,NA
"GIMAP4",1.34e-25,NA,NA
"GIMAP5",NA,1.29884279565208e-30,NA
"GIMAP6",6.16e-31,1.46730130808775e-64,NA
"GMFG",1.81e-26,NA,NA
"HCK",1.63e-21,NA,NA
"HLA-E",1.07e-27,NA,NA
"IL18R1",2.35e-14,NA,NA
"IL7R",1.84e-23,1.03062056584012e-25,NA
"ITGAL",6.2e-18,NA,NA
"ITIH5",1.5e-27,3.02907680147788e-26,NA
"ITM2A",4.42e-28,1.21570838591609e-24,NA
"KCNJ8",4.41e-22,NA,NA
"LAPTM5",1.79e-19,NA,NA
"LDB2",3.76e-32,1.11620096846791e-53,NA
"LMOD1",1.39e-25,4.47543877873749e-16,NA
"LRRC32",1.95e-28,4.00847613835797e-32,NA
"LST1",1.76e-20,NA,NA
"LY86",7.46e-22,NA,NA
"LYZ",NA,3.53879011206771e-09,NA
"MNDA",2.3e-22,NA,NA
"MS4A4A",7.14e-18,NA,NA
"MSR1",1.99e-28,1.63346812812172e-38,NA
"NCF2",4.18e-26,5.33643510596851e-27,NA
"NCKAP1L",5.07e-20,NA,NA
"OLFML1",7.71e-26,NA,NA
"P2RY14",1.55e-20,NA,NA
"PCDH12",6.86e-24,NA,NA
"PDE2A",1.91e-24,3.07678696360776e-20,NA
"PIK3R5",2.21e-18,NA,NA
"PRF1",8.06e-15,NA,NA
"PRKG1",1.02e-22,NA,NA
"PTGER4",1.3e-26,NA,NA
"PTGIS",4.21e-18,NA,NA
"RAMP3",5.64e-32,8.3575313559723e-46,NA
"RASSF2",8.21e-21,NA,NA
"S100A8",NA,1.76288842244555e-05,NA
"SAMHD1",6.85e-23,NA,NA
"SELPLG",1.56e-26,NA,NA
"SERPING1",1.79e-27,NA,NA
"SIGLEC1",1.02e-17,NA,NA
"TCF21",1.11e-31,7.84181455998427e-55,NA
"TYROBP",8.48e-23,NA,NA
"VSIG4",2.38e-28,1.329577017812e-36,NA
"ZEB2",1.88e-25,NA,NA
"ZNF423",NA,1.64466742729983e-35,NA
