"ID","adjP.qn","adjP.dp05","WicoxonP"
"ACTG2",NA,0.0019934089127379,0.00163619781713632
"ALOX5AP",6.65329390546805e-27,2.30883391928187e-08,NA
"AOC3",1.0653109185707e-42,1.65193623198257e-08,NA
"ARHGEF6",NA,3.37500027480261e-31,NA
"BCL2A1",NA,0.000139976579074021,NA
"BTK",NA,2.04843930702566e-13,NA
"C1QA",3.22866001714882e-20,NA,NA
"C1QB",2.07278853650365e-18,NA,NA
"CASP1",NA,4.03481406592975e-07,NA
"CCDC69",NA,6.84221014277052e-07,NA
"CD163",NA,0.00171169393865872,NA
"CD302",NA,1.72519395526139e-05,NA
"CD37",NA,2.5439042520106e-05,NA
"CD52",1.0854090582246e-37,NA,NA
"CD69",NA,0.00251566995152571,NA
"CD93",1.26483865427832e-32,1.54927410421501e-05,NA
"CDH5",7.69572895601567e-42,2.08662278238206e-12,NA
"COX7A1",2.91725990489337e-21,1.79217596538597e-17,NA
"CSTA",NA,8.83970577314064e-17,NA
"CXCL12",NA,5.19610463185909e-11,NA
"EDIL3",NA,0.0336395126951637,NA
"EMCN",1.07830773576771e-37,2.49893638801897e-46,NA
"ERG",1.02866483775941e-31,5.8797462752476e-26,NA
"FGR",3.28606381979932e-44,8.87596740836638e-18,NA
"FLI1",NA,2.71172442399583e-16,NA
"FOXF1",3.28606381979932e-44,5.11378116595337e-53,NA
"FPR1",3.07588225566258e-17,1.13460267008751e-11,NA
"GIMAP5",1.29884279565208e-30,NA,NA
"GIMAP6",1.46730130808775e-64,1.19446487321388e-18,NA
"HCK",NA,8.36068976498836e-05,NA
"IL7R",1.03062056584012e-25,4.5609944166319e-08,NA
"ITGAL",NA,1.16349688898866e-07,NA
"ITIH5",3.02907680147788e-26,NA,NA
"ITM2A",1.21570838591609e-24,2.41829391102058e-08,NA
"KCNJ8",NA,5.05867228340923e-15,NA
"KDR",NA,0.0319184966240405,NA
"LAIR1",NA,0.0061668649317771,NA
"LDB2",1.11620096846791e-53,2.36715844664316e-57,NA
"LMOD1",4.47543877873749e-16,1.71877946495899e-15,NA
"LRRC32",4.00847613835797e-32,1.9319326836064e-09,NA
"LST1",NA,6.3123151101517e-10,NA
"LY86",NA,1.21942685787023e-08,NA
"LYZ",3.53879011206771e-09,NA,NA
"MNDA",NA,2.45080068775234e-07,NA
"MS4A4A",NA,8.95335489953933e-06,NA
"MSR1",1.63346812812172e-38,3.84047753898144e-14,NA
"MYO1F",NA,0.000723631628005233,NA
"NCF2",5.33643510596851e-27,1.43616634132607e-05,NA
"NCKAP1L",NA,5.75255735981842e-15,NA
"NKG7",NA,2.7843597671295e-05,NA
"OLFML1",NA,1.2382895335085e-16,NA
"PCDH12",NA,2.58356979032037e-08,NA
"PDE2A",3.07678696360776e-20,NA,NA
"PLEK",NA,0.0336395126951637,NA
"PRF1",NA,2.95258515855787e-07,NA
"PTGER4",NA,2.23452316465303e-32,NA
"PTGIS",NA,1.86729480542756e-07,NA
"PTPRC",NA,0.00171169393865872,NA
"RAMP3",8.3575313559723e-46,1.06074924741135e-10,NA
"RASSF2",NA,2.16792854837043e-08,NA
"S100A8",1.76288842244555e-05,1.05287609097421e-05,NA
"SELPLG",NA,0.00051033748634995,NA
"SIGLEC1",NA,2.09702864208585e-09,NA
"SLA",NA,0.000130457730141417,NA
"SPON1",NA,0.00264199267714735,NA
"TCF21",7.84181455998427e-55,1.99379981718492e-72,NA
"TLR2",NA,0.00171169393865872,NA
"VSIG4",1.329577017812e-36,1.54927410421501e-05,NA
"ZNF423",1.64466742729983e-35,NA,NA
